Sexo;Federación;Comunidad autónoma;periodo;Total
TOTAL;Actividades Subacuáticas;Castilla-La Mancha;2019;871
TOTAL;Actividades Subacuáticas;Castilla-La Mancha;2018;1.136
TOTAL;Actividades Subacuáticas;Castilla-La Mancha;2017;507
TOTAL;Actividades Subacuáticas;Castilla-La Mancha;2016;581
TOTAL;Actividades Subacuáticas;Castilla-La Mancha;2015;864
TOTAL;Actividades Subacuáticas;Castilla-La Mancha;2014;830
TOTAL;Actividades Subacuáticas;Castilla-La Mancha;2013;810
TOTAL;Actividades Subacuáticas;Castilla-La Mancha;2012;236
TOTAL;Actividades Subacuáticas;Castilla-La Mancha;2011;292
TOTAL;Actividades Subacuáticas;Castilla-La Mancha;2010;339
TOTAL;Actividades Subacuáticas;Castilla-La Mancha;2009;339
TOTAL;Actividades Subacuáticas;Cataluña;2024;5.816
TOTAL;Actividades Subacuáticas;Cataluña;2023;5.452
TOTAL;Actividades Subacuáticas;Cataluña;2022;6.081
TOTAL;Actividades Subacuáticas;Cataluña;2021;5.906
TOTAL;Actividades Subacuáticas;Cataluña;2020;4.850
TOTAL;Actividades Subacuáticas;Cataluña;2019;4.777
TOTAL;Actividades Subacuáticas;Cataluña;2018;4.994
TOTAL;Actividades Subacuáticas;Cataluña;2017;4.891
TOTAL;Actividades Subacuáticas;Cataluña;2016;4.716
TOTAL;Actividades Subacuáticas;Cataluña;2015;4.924
TOTAL;Actividades Subacuáticas;Cataluña;2014;5.936
